# non-physical-nouns.tsv
#
# 16958 single-word English common nouns for which NO sense in Open English
# WordNet 2024 inherits from `physical entity` or `thing`. Every sense of every
# lemma below traces upward to `abstraction`.
#
# Generated: 2026-08-20
#
# ---------------------------------------------------------------------------
# ATTRIBUTION (required — this file is a derivative work)
# ---------------------------------------------------------------------------
# Derived from Open English WordNet 2024
#   https://github.com/globalwordnet/english-wordnet
#   Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0)
#   https://creativecommons.org/licenses/by/4.0/
#
# Cite as:
#   John P. McCrae, Alexandre Rademaker, Francis Bond, Ewa Rudnicka and
#   Christiane Fellbaum (2019) "English WordNet 2019 - An Open-Source WordNet
#   for English." In Proceedings of the 10th Global WordNet Conference (GWC
#   2019), Wroclaw.
#
# CC BY 4.0 permits commercial use and redistribution provided attribution is
# given and changes are indicated. Changes made here: filtered to single-word
# lowercase noun lemmas; removed lemmas having any `physical entity` sense;
# annotated each remaining lemma with its immediate branch(es) under
# `abstraction`; no lexical content was altered.
# ---------------------------------------------------------------------------
#
# FORMAT: lemma<TAB>branches   (branches semicolon-separated when a lemma has
# senses in more than one branch)
#
# Branch counts (as sole branch):
#   attribute: 4983
#   event: 3738
#   psychological feature: 1707
#   communication: 1402
#   measure: 1029
#   group: 586
#   relation: 542
#   right: 8
#   absolute: 1
#   otherworld: 1
#   set: 1
#   (multi-branch lemmas: 2960)
#
# NOTE ON `group`: WordNet files collective nouns (crowd, committee, herd)
# under `abstraction`. 586 lemmas here are group-only and are arguably
# concrete. Filter with: awk -F'\t' '$2 !~ /group/' non-physical-nouns.tsv
#
lemma	branches
algophobia	attribute
algorism	communication;psychological feature
algorithm	event
alhamdulilah	communication
alias	relation
alibi	communication
alienage	attribute
alienation	attribute;event
alienism	attribute;psychological feature
alignment	event;group;relation
alikeness	attribute
alimony	relation
alinement	group
aliquant	measure
aliquot	measure
aliveness	attribute
aliyah	communication;event
alkalemia	attribute
alkalimetry	event
alkalinity	attribute
alkalinuria	psychological feature
alkalosis	attribute
alkaluria	psychological feature
alkaptonuria	attribute
allegation	communication
allegement	communication
allegiance	attribute;event
allegoresis	communication
allegoricalness	attribute
allegory	communication;psychological feature
allegretto	attribute;communication
allegro	attribute;communication
allele	group
allelomorph	group
allergology	psychological feature
allergy	attribute
alleviation	attribute;event
alliance	attribute;communication;event;group;relation
allies	group
alliteration	communication
allocation	event;relation
allocution	event
allogamy	event
allograph	communication;relation
allomerism	event
allometry	psychological feature
allopathy	event
allopatry	attribute
allophone	relation
allotment	event;relation
allowance	attribute;event;relation
allure	attribute
allurement	attribute;event;psychological feature
allusion	communication
allusiveness	attribute
alms	event
almsgiving	event
aloha	communication
aloneness	attribute
aloofness	attribute
alopecia	attribute
alpha	communication;event
alphabet	communication;psychological feature
alphabetisation	event
alphabetization	event
alphanumerics	communication
altcoin	measure
alterability	attribute
alteration	event
altercation	event
altering	event
alternation	event
alternative	psychological feature
altitude	attribute;relation
altogether	attribute
altruism	attribute
alveolar	relation
alveolitis	psychological feature
am	measure
amalgamation	event
amastia	attribute
amateurishness	psychological feature
amateurism	psychological feature
amativeness	attribute
amaurosis	attribute
amazement	attribute
ambage	communication
ambages	event
ambassadorship	event
ambidexterity	attribute
ambidextrousness	attribute
ambiguity	attribute;communication
ambit	attribute
ambition	attribute
ambitiousness	attribute
ambivalence	attribute
ambivalency	attribute
ambiversion	attribute
amble	event
amblyopia	attribute
ambulation	event
ambuscade	event
ambush	event
amebiasis	attribute
amebiosis	attribute
amelia	attribute
amelioration	event
amenability	attribute
amenableness	attribute
amendment	communication;event
amends	event;relation
amenia	psychological feature
amenities	relation
amenity	attribute
amenorrhea	psychological feature
amenorrhoea	psychological feature
amentia	psychological feature
amercement	relation
ametria	attribute
ametropia	attribute
amiability	attribute
amiableness	attribute
amicability	attribute
amicableness	attribute
aminoaciduria	psychological feature
amity	attribute
ammoniuria	psychological feature
amnesia	attribute
amnesty	attribute;communication;event
amnio	event
amniocentesis	event
amoebiasis	attribute
amoebiosis	attribute
amoralism	psychological feature
amorality	attribute
amorousness	attribute
amortisation	event
amortization	event
amount	attribute;measure;psychological feature;relation
amour	attribute
amp	measure
ampere	measure
ampersand	communication
amphibia	group
amphibology	communication
amphiboly	communication
amphibrach	communication
amphictyony	group
amphidiploidy	attribute
amphigory	communication
amphisbaena	psychological feature
ampleness	attribute
amplification	attribute;event
amplitude	attribute;event
amputation	attribute;event
amusement	attribute;event
amygdalotomy	event
amyloidosis	attribute
amyotonia	attribute
amyotrophia	psychological feature
amyotrophy	psychological feature
amyxia	attribute
ana	group
anabiosis	attribute
anaclisis	attribute
anacoluthia	communication
anacoluthon	communication
anadiplosis	communication
anaemia	attribute;psychological feature
anaesthesia	attribute
anagoge	psychological feature
anagram	relation
anagrams	event
analbuminemia	attribute
analecta	communication
analects	communication
analgesia	attribute
analog	attribute
analogue	attribute
analogy	attribute;event;psychological feature
analphabetism	psychological feature
analysis	communication;event;psychological feature
analyticity	attribute
anamnesis	communication;psychological feature
anancasm	psychological feature
anapaest	communication
anapest	communication
anaphase	measure
anaphor	relation
anaphora	communication
anaphrodisia	attribute
anaphylaxis	attribute
anaplasia	attribute
anaplasmosis	attribute
anaplasty	event
anarchism	psychological feature
anarchy	attribute
anarthria	attribute
anasarca	attribute;psychological feature
anastomosis	attribute
anastrophe	communication
anastylosis	event
anathematisation	event
anathematization	event
anatomical	communication
ancestry	attribute;group
anchylosis	attribute
ancientness	attribute
ancients	group
andante	attribute;communication
androglossia	attribute
androgyny	attribute
androphobia	attribute
anecdotalism	attribute
anecdote	event
anemia	attribute;psychological feature
anemography	event
anemometry	event
anencephalia	attribute
anencephaly	attribute
anergy	attribute
anesthesia	attribute
anesthesiology	psychological feature
anestrum	attribute
anestrus	attribute
aneuploidy	attribute
aneurism	attribute
aneurysm	attribute
angelology	psychological feature
angelus	event
anger	attribute;event
angiitis	attribute;psychological feature
angina	attribute
angioedema	attribute;psychological feature
angiography	event
angiohemophilia	attribute
angiology	psychological feature
angioma	attribute
angiopathy	attribute
angioplasty	event
